TWA mit +- 5 Grad;;;;;;;;;
;;;;;;;0;220;220
TWA;TWS (angle 1);TWS (angle 2);TWS combined;engültiger Wert;;;10;230;210
0;0;0;0;0;;;20;240;200
10;1.671956277;2.368787733;2.020372005;2.02;;;30;250;190
20;1.797214827;3.883440759;2.840327793;2.84;;;40;260;180
30;1.963847894;4.508031708;3.235939801;3.24;;;50;270;170
40;2.127620627;3.968154713;3.04788767;3.05;;;60;280;160
50;3.554964576;4.055741972;3.805353274;3.81;;;70;290;150
60;5.419509252;4.750868031;5.085188641;5.09;;;80;300;140
70;5.746195602;4.66959184;5.207893721;5.21;;;90;310;130
80;6.108741778;4.587127344;5.347934561;5.35;;;100;320;120
90;5.055864984;5.670410259;5.363137621;5.36;;;110;330;110
100;4.056236823;8.341291582;6.198764203;6.2;;;120;340;100
110;4.887238497;8.150792353;6.519015425;6.52;;;130;350;90
120;5.241821246;2.33599372;3.788907483;3.79;;;140;0;80
130;4.684003968;1.973115742;3.328559855;3.33;;;150;10;70
140;3.455926295;1.702461666;2.57919398;2.58;;;160;20;60
150;2.644654085;1.680255576;2.16245483;2.16;;;170;30;50
160;1.823940387;1.366339331;1.595139859;1.6;;;180;40;40
170;1.52245021;1.546655148;1.534552679;1.53;;;;;
180;1.52245021;;1.52245021;1.52;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
TWA;engültiger Wert;;;;;;;;
0;0;;;;;;;;
10;2.02;;;;;;;;
20;2.84;;;;;;;;
30;3.24;;;;;;;;
40;3.05;;;;;;;;
50;3.81;;;;;;;;
60;5.09;;;;;;;;
70;5.21;;;;;;;;
80;5.35;;;;;;;;
90;5.36;;;;;;;;
100;6.2;;;;;;;;
110;6.52;;;;;;;;
120;3.79;;;;;;;;
130;3.33;;;;;;;;
140;2.58;;;;;;;;
150;2.16;;;;;;;;
160;1.6;;;;;;;;
170;1.53;;;;;;;;
180;1.52;;;;;;;;
